"","Municipio","Mesa","Cargo","Lista","Votos","VE","Year","Circuito"
"38484","RIVADAVIA BANDA NORTE",1522,"GOBERNADOR","VOTOS EN BLANCO",8,"0",2007,"28B"
"38485","RIVADAVIA BANDA NORTE",1522,"SENADOR","VOTOS EN BLANCO",13,"0",2007,"28B"
"38520","SALTA",3024,"DIPUTADO","CORRIENTE PATRIA LIBRE",21,"1",2007,"1D"
"38529","SALTA",3024,"DIPUTADO","UNION VICTORIA POPULAR",6,"1",2007,"1D"
"38533","SALTA",3024,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"1",2007,"1D"
"38534","SALTA",3024,"DIPUTADO","MOVIMIENTO POPULAR SALTENO",0,"1",2007,"1D"
"38538","SALTA",3024,"GOBERNADOR","PARTIDO DEL OBRERO",11,"1",2007,"1D"
"38539","SALTA",3024,"DIPUTADO","PARTIDO DEL OBRERO",15,"1",2007,"1D"
"38542","SALTA",3024,"DIPUTADO","VECINOS UNIDOS",9,"1",2007,"1D"
"38544","SALTA",3024,"GOBERNADOR","PARTIDO NUEVA GENERACION",9,"1",2007,"1D"
"38545","SALTA",3024,"DIPUTADO","PARTIDO NUEVA GENERACION",11,"1",2007,"1D"
"38550","SALTA",3024,"GOBERNADOR","PROPUESTA SALTENA",34,"1",2007,"1D"
"38551","SALTA",3024,"DIPUTADO","PROPUESTA SALTENA",44,"1",2007,"1D"
"38559","SALTA",3024,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",90,"1",2007,"1D"
"38560","SALTA",3024,"DIPUTADO","F.PARA LA VICTORIA-P.RENOVADOR",27,"1",2007,"1D"
"38563","SALTA",3024,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",3,"1",2007,"1D"
"38564","SALTA",3024,"DIPUTADO","ENCUENTRO POPULAR AMPLIO",5,"1",2007,"1D"
"38567","SALTA",3024,"GOBERNADOR","CONCERTACION SALTENA",17,"1",2007,"1D"
"38568","SALTA",3024,"DIPUTADO","CONCERTACION SALTENA",21,"1",2007,"1D"
"38580","SALTA",3024,"GOBERNADOR","VOTOS EN BLANCO",1,"1",2007,"1D"
"38581","SALTA",3024,"DIPUTADO","VOTOS EN BLANCO",28,"1",2007,"1D"
"38614","GENERAL PIZARRO",3513,"GOBERNADOR","PJ - FRE.JU.VI.",135,"0",2007,"22D"
"38615","GENERAL PIZARRO",3513,"SENADOR","PJ - FRE.JU.VI.",131,"0",2007,"22D"
"38623","GENERAL PIZARRO",3513,"GOBERNADOR","PARTIDO HUMANISTA",0,"0",2007,"22D"
"38630","GENERAL PIZARRO",3513,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",0,"0",2007,"22D"
"38653","GENERAL PIZARRO",3513,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"0",2007,"22D"
"38654","GENERAL PIZARRO",3513,"SENADOR","MOVIMIENTO REGIONAL DEL PUEBLO",23,"0",2007,"22D"
"38657","GENERAL PIZARRO",3513,"GOBERNADOR","PARTIDO DEL OBRERO",0,"0",2007,"22D"
"38658","GENERAL PIZARRO",3513,"GOBERNADOR","PARTIDO NUEVA GENERACION",0,"0",2007,"22D"
"38661","GENERAL PIZARRO",3513,"GOBERNADOR","PROPUESTA SALTENA",0,"0",2007,"22D"
"38666","GENERAL PIZARRO",3513,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",42,"0",2007,"22D"
"38667","GENERAL PIZARRO",3513,"SENADOR","F.PARA LA VICTORIA-P.RENOVADOR",22,"0",2007,"22D"
"38670","GENERAL PIZARRO",3513,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",0,"0",2007,"22D"
"38671","GENERAL PIZARRO",3513,"GOBERNADOR","CONCERTACION SALTENA",1,"0",2007,"22D"
"38672","GENERAL PIZARRO",3513,"SENADOR","CONCERTACION SALTENA",0,"0",2007,"22D"
"38682","GENERAL PIZARRO",3513,"GOBERNADOR","VOTOS EN BLANCO",0,"0",2007,"22D"
"38683","GENERAL PIZARRO",3513,"SENADOR","VOTOS EN BLANCO",2,"0",2007,"22D"
"38716","JOAQUIN V. GONZALEZ",1492,"GOBERNADOR","PJ - FRE.JU.VI.",81,"0",2007,"24C"
"38717","JOAQUIN V. GONZALEZ",1492,"SENADOR","PJ - FRE.JU.VI.",24,"0",2007,"24C"
"38725","JOAQUIN V. GONZALEZ",1492,"GOBERNADOR","PARTIDO HUMANISTA",0,"0",2007,"24C"
"38732","JOAQUIN V. GONZALEZ",1492,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",0,"0",2007,"24C"
